"세종특별자치시","60~64세",4524,913,5501,1225,6531,1505,7764,1828
"세종특별자치시","65~69세",3323,743,3804,908,4389,1097,4928,1296
"세종특별자치시","70~74세",2826,761,2914,800,3013,839,3377,969
"세종특별자치시","75~79세",2440,809,2577,842,2908,974,3061,1037
"세종특별자치시","80~84세",1535,611,1662,640,1780,694,1919,757
"세종특별자치시","85세 이상",825,400,859,412,986,474,1051,485
"경기도","합계",4384742,1026471,4484424,1067916,4602950,1124541,4751497,1197586
"경기도","15세미만",21,14,18,11,24,19,27,13
"경기도","15~19세",8659,7602,8886,7691,8256,7307,8112,7193
"경기도","20~24세",70804,50199,71377,51968,72872,53631,75905,56321
"경기도","25~29세",175208,99362,176684,103092,187477,110695,206246,124628
"경기도","30~34세",367996,118409,348171,114909,332345,114390,327701,119019
"경기도","35~39세",481834,100540,490962,102362,503460,107953,518308,114700
"경기도","40~44세",589272,103995,564084,99784,551025,99875,540152,100028
"경기도","45~49세",609378,98661,625642,101905,639683,108492,642565,113174
"경기도","50~54세",587438,95158,581452,96053,583993,98703,599292,104181
"경기도","55~59세",505227,90935,547453,99959,574044,108169,593297,112879
"경기도","60~64세",324628,66537,368167,78549,397911,87417,440492,99970
"경기도","65~69세",232082,55634,239210,59551,255666,64778,268138,69212
"경기도","70~74세",187770,51266,192263,53457,198904,55535,211838,60065
"경기도","75~79세",136831,44190,147331,47982,162558,52678,170329,55547
"경기도","80~84세",72366,27890,82628,32007,90337,34717,99303,38086
"경기도","85세 이상",35228,16079,40096,18636,44395,20182,49792,22570
"강원도","합계",606117,189379,616346,197917,620729,199645,628484,206295
"강원도","15세미만",X,X,X,X,X,X,X,X
"강원도","15~19세",2534,2292,3119,2933,2528,2362,2567,2397
"강원도","20~24세",23574,20467,23831,20989,20734,17975,20319,17615
"강원도","25~29세",24907,16088,25197,16820,25113,16380,25928,17112
"강원도","30~34세",33470,11473,32760,11666,31694,11674,30333,11737
"강원도","35~39세",44114,9986,44409,10124,44836,10469,44877,10769
"강원도","40~44세",59253,11833,56115,11346,54216,11321,51567,10969
"강원도","45~49세",67727,14080,67879,14362,67815,14606,66372,14524
"강원도","50~54세",71757,16724,69565,16606,68080,16407,68886,16889
"강원도","55~59세",75601,18944,79350,20548,80256,21565,79966,21806
"강원도","60~64세",56207,14821,63490,17310,66766,18504,72550,20878
"강원도","65~69세",41250,12591,40863,12884,44154,14003,45809,14694
"강원도","70~74세",42678,13894,41760,13895,41403,13799,42021,14335
"강원도","75~79세",34898,12795,36732,13641,39029,14685,39720,15043
"강원도","80~84세",17874,8109,20041,8989,22076,9702,24495,10746
"강원도","85세 이상",10271,5281,11233,5803,12025,6190,13073,6781
"충청북도","합계",601856,173598,617914,187377,629073,195186,640978,204109
"충청북도","15세미만",X,X,X,X,X,X,X,X
"충청북도","15~19세",2283,2089,2888,2707,2701,2498,2462,2300
"충청북도","20~24세",16280,13134,19949,17006,19568,16619,19675,16763
"충청북도","25~29세",25597,15793,26737,17425,28041,18415,30242,20427
"충청북도","30~34세",42935,14581,41924,15017,39920,15202,38718,15496
"충청북도","35~39세",52279,11747,52524,11968,53771,12692,54423,13449
"충청북도","40~44세",63892,12534,60907,12031,59975,12513,57999,12468
"충청북도","45~49세",72198,13456,72824,14167,72132,14670,71029,14882
"충청북도","50~54세",73556,15030,71234,15145,70702,15245,72847,16192
"충청북도","55~59세",70617,15918,75916,17686,78536,19111,78488,19395
"충청북도","60~64세",51515,12585,57875,14740,61627,16041,66933,17944
"충청북도","65~69세",37442,10342,38810,11129,41942,12095,43665,12818
"충청북도","70~74세",36326,11690,35295,11505,34415,11405,35468,11712
"충청북도","75~79세",30528,11737,31700,12325,34110,13138,34690,13388
"충청북도","80~84세",17750,8328,19842,9280,21334,9912,22741,10528
"충청북도","85세 이상",8656,4632,9486,5244,10298,5630,11597,6346
"충청남도","합계",796185,234513,813730,247056,834986,259727,851124,270497
"충청남도","15세미만",X,X,X,X,X,X,5,X
"충청남도","15~19세",3312,3083,3708,3510,3576,3377,3589,3418
"충청남도","20~24세",23288,19080,24689,20749,24209,20252,24723,20788
"충청남도","25~29세",36387,22582,36579,23305,38221,24457,39368,25663
"충청남도","30~34세",62022,21796,59761,22126,57984,22654,55958,22823
"충청남도","35~39세",72570,16321,75017,17318,78316,18796,79841,19971
"충청남도","40~44세",83798,16557,80327,16149,80727,16812,79456,16770
"충청남도","45~49세",87021,16809,90615,17677,92207,18830,92059,19404
"충청남도","50~54세",89204,18582,85784,18608,86206,19358,88914,20128
"충청남도","55~59세",83720,19170,90188,21296,94133,23277,95924,24178
"충청남도","60~64세",63559,15063,69628,17418,74128,19414,80082,21654
"충청남도","65~69세",53819,14290,56138,15465,58161,16355,58444,16848
"충청남도","70~74세",48744,15186,47899,15003,46985,14777,48817,15415
"충청남도","75~79세",44889,16222,45087,16524,48280,17717,48137,17835
"충청남도","80~84세",29442,12625,32525,13947,33929,14654,35837,15516
"충청남도","85세 이상",14406,7143,15781,7960,17922,8995,19970,10084
"전라북도","합계",717311,213750,724678,222201,728871,227600,732980,232587
"전라북도","15세미만",X,X,X,X,X,X,X,X
"전라북도","15~19세",3382,3054,3985,3686,3758,3482,3356,3082
"전라북도","20~24세",20287,16204,22032,18297,21819,17968,21865,18073
"전라북도","25~29세",25416,15213,24971,15462,25593,15981,26309,16867
"전라북도","30~34세",42650,14715,40041,14170,36926,13532,34487,13198
"전라북도","35~39세",56239,12882,55697,12699,55459,13099,54856,13304
"전라북도","40~44세",73257,14108,68877,13631,66439,13416,63256,12921
